"","artist","song","spotify_uri"
"1","-123 minut","A Simple Man","5GIWeGdWOfDfEOll1O4t4S"
"2","-123 minut","Call My Name","6Vxt15mm2ExoEf09ZZwUmW"
"3","-123min.","Amy","3cNXzb7zzSXgnITm1v5ch1"
"4","-123min.","C'mon Back","2edqWrDzz2IuIw4kfTJcLG"
"5","-123min.","Hey_ Son","4wUC0oyeVAXsDruFZIkDg3"
"6","-123min.","No More Day","6YGL7im3IvaBDoOgZof2AQ"
"7","-123min.","Runnin' On","3yPU6XFjqjyoZEjh0y7EtT"
"8","-123min.","Sadorealism","59X2Cj2NLjZ1u48otfawO1"
"9","-123min.","Sea Or Sure","0BZTKt9FC2zDCosN4nOb1v"
"10","-123min.","September","0lBJ0ryjyQviwoXePyILR3"
"11","-123min.","So Tre Ma Po","2BMELcIqSGZEIkCxLJGzmL"
"12",":Blacks On :Blondes","49 Segundos","3oPHqhTvNRFkDt4rFyBwOE"
"13",":Blacks On :Blondes","Secret Society","2aFzYIbgCT34H970tPDteX"
"14","? & The Mysterians","96 Tears","4PEeZ2U4UfP2Jo8EtIOjus"
"15","? & The Mysterians","Can't Get Enough Of You_ Baby","1C5TdPivZzdI5bWzRy5hNk"
"16","? & The Mysterians","Don't Tease Me","2OFLNihLjoH4pubiYMf4xu"
"17","? & The Mysterians","Hangin' On A String","6Jy2m5WDbKgrn9t4VASJGI"
"18","? & The Mysterians","Set Aside","0QAuufqhtDEGZH3LCI0zly"
"19","? & The Mysterians","Ten O'clock","40NHppXZVM0eYvsVseywWl"
"20","...And You Will Know Us By The Trail Of Dead","And You Will Know Them...","4MjozIk7BllM2C5bU98dCP"
"21","...And You Will Know Us By The Trail Of Dead","Baudelaire","4SRk9ehxeCp0uPDaMrwVqK"
"22","...And You Will Know Us By The Trail Of Dead","Blight Takes All","1NhGoltvdi4zn6JaTOj64F"
"23","...And You Will Know Us By The Trail Of Dead","The Best","62RXWSdL4KantPhRasiStW"
"24","...And You Will Know Us By The Trail Of Dead","The Lost City Of Refuge","1eTd4rqNUbAa3M7DcZ55OP"
"25","...And You Will Know Us By The Trail Of Dead","Wasted State Of Mind","16XbElFPv3A7TrzRJntVYd"
"26","...arrived at ten","380 ms","1nrPRfOalVRYgK4CJVFsvS"
"27","...arrived at ten","Coda","2R1l3qRNfyrjg3IsXYpieJ"
"28","...arrived at ten","Interlude '77","15nmQDTYLrHlIBSCFedBoJ"
"29","...arrived at ten","Red Light","694q11icXEElhUYKH1F4qT"
"30","(Hed) Planet Earth","33","4Q3O9tYle7QM41vyduBtZd"
"31","(Hed) Planet Earth","Bitches","4bSdbeW0cO5aPjArcmVbKS"
"32","(Hed) Planet Earth","Blackout","6yTnvHRhUuuaoxy4dHzLGo"
"33","(Hed) Planet Earth","Flesh and Bone","0CS0U3x0Xjz5ZWvzY9glY3"
"34","(Hed) Planet Earth","Other Side","3sypeUvcKcO4ULqFo1lvii"
"35","(Hed) Planet Earth","Serpent Boy","7J6GvzDvpdML0bKOXtSx79"
"36","(Hed) Planet Earth","Suck It Up","2ojddPZAy0NMCDBDptqM61"
"37","(Native Passions)","Cry Of Shadows","5kCgtkHs8gIyvxSJOZsXV8"
"38","(We Are) Performance","Live a Little","4hHotlM8Cowl98BoYrUM3C"
"39","(We Are) Performance","Lost Youth","2ySeu91UWZHPfFgy295o11"
"40","(We Are) Performance","Sex Etc.","0VZ9KcvTl17NFf9d5l5AiW"
"41","[ingenting]","21218","4WburZhKAydVR9EcFeUlv2"
"42","[ingenting]","De Sv̴raste Orden (Mr Suitcases Midnattsmix)","1cVhApgbY94OCXliHigPAl"
"43","[ingenting]","Hollywood Dreams","2gF4dDwufUNmAMpKLBv8sk"
"44","[ingenting]","Lisa Sa","79CN404wrJmgue97S2w6VQ"
"45","[ingenting]","Mamma Jag Har Gjort S̴ Mycket Som Du Inte Vill Veta Om","4vLzfgUa5wzEhGqp5coImy"
"46","[ingenting]","Mamma_ Jag Har Gjort S̴ Mycket Som Du Inte Vill Veta Om","4vLzfgUa5wzEhGqp5coImy"
"47","[ingenting]","Suzanne (Vi Kan Inte G̴ Hand I Hand)","5fT97kSfFHU5Ww6xy6ge31"
"48","[ingenting]","Syster Dyster","5cFrcISfV0TYYGXr0KSceL"
"49","*Shels","Atoll (Laurentian's)","1YDRKMdrrC9xsagyg2Fbbc"
"50","*Shels","Indian 1","7KlN421qvc56xFrwpu7iJt"
"51","*Shels","M","7jbTU29o3LzjpXMUrcJtMw"
"52","*Shels","Wingsfortheirsmiles 1","5UdGndPsAGGGwPX7FVo3uW"
"53","& And Oceans","Angelina: Chthonian Earth: Her Face Forms Worms","0m0DXVr1BXsmLGiIAyYvID"
"54","& And Oceans","Halcyon: The Heavy Silence: In Silent Rain","5AR5cm7Nr91AUjb7BX5MuG"
"55","& And Oceans","Of Devilish Tongues","1hEQ8PD2gvtvzi2x8ci69P"
"56","$tinkworx","All Night Long","4JeD5BhYbCpH2oDPQQIg67"
"57","$tinkworx","No Luv","5c3pY2qULU8sKZNeKRUtGw"
"58","1. Futurologischer Congress","Bungalow","4ejr9cwdr4gdWLBloK4yhy"
"59","1. Futurologischer Congress","Lava","11h7G8yIMbSRLndsv0UN2g"
"60","1. Futurologischer Congress","No Woman No Cry","7pKNbTCrssLEHE5qdWcRyv"
"61","1. Futurologischer Congress","Nur mit Dir","7rAKdUk7EDHdKRc8BzLw73"
"62","1. Futurologischer Congress","Sonne_ Wind & mehr","0sp4AIEBhqvJIKpZvR2z4m"
"63","10 Years","Drug of Choice","5bwJVTyYzj66jfvXoU9L3C"
"64","10 Years","Dying Youth","1C8I5fruw5Ywm7WjbYdbxv"
"65","10 Years","Insects","7sMxHXjsAtlzrDsBug676J"
"66","10 Years","Just Can't Win","0p0Z2fcPcYKaXNsUKqmzoX"
"67","10_000 Maniacs","Just As The Tide Was A Flowing (LP Version)","10_000 Maniacs"
"68","100 Pets","Further Away","6u96IWq9Ac35lwIdm9T31q"
"69","100 Pets","Three Friends","7KLuMG5nXHPaFiyECb78R0"
"70","100 Pets","Wise Old Cat","5iSM36OXlyjgfNY1T3basD"
"71","1000names","Ice is the silent language","4zg3OsVOmr41F7CWwwGnyk"
"72","1000names","Intro","0GkQGaYAbLtLkPTDwSj4w4"
"73","1000names","Rhythmatic Train Behaviour","1SLREvrZVPVm6IfBr2LRtt"
"74","1000names","Run ! Don't walk","4jWvKEC7fA7IzV7MxpJbyC"
"75","1000names","Toys Room Combat","4SphM5UfiUhAlJLpWOablp"
"76","1000names","What Is Like","09GMI1ueSZwhPiu4pAi0Nb"
"77","1001","Underground","22sAFZ8igeXTOl8IppZuGg"
"78","1001 Ways","Guru Deva","2coAFhjS3xQT4JxI3Q8FL2"
"79","1001 Ways","Inmon","2AveAAbC1UiAsooQ4YyrLL"
"80","1001 Ways","Through My Senses","4PXxoBnXRHVRZufrMf5lW4"
"81","101","Got That","0fVCIchWhX9Llpu6cJnCu4"
"82","101 Strings","Dark Eyes","40Vl1inBkxaPXCy3HaXYeu"
"83","101 Strings","Espana Cani","07fkQd7WFxmuitav4hoVuv"
"84","101 Strings","Gay Boulevardier","30A7Cg8sYgm9W81Xb4SmfT"
"85","101 Strings","Nancy's Song","1Gor9RolX928MdW8Ttel6a"
"86","101 Strings","Perpetual Motion","6HknKiwFL4YQNDk9pXTGwn"
"87","101 Strings","The Breeze and I","3CLnasLK95KUPdk61vztl6"
"88","101 Strings Orchestra","Always","0FuvgVzJDhvqPTsokzSHr6"
"89","101 Strings Orchestra","As Time Goes By","7sc5CkNAgCmZK3U974lyYD"
"90","101 Strings Orchestra","Cielito Lindo","3ee4aW571lDHGXeRp1IjeS"
"91","101 Strings Orchestra","How Deep Is The Ocean","0Ei5g1JJq2CtFszOZsX9xH"
"92","101 Strings Orchestra","Jamaica Jamboree","3oAHijrGaYBz9MqP0ClQej"
"93","101 Strings Orchestra","Kashmiri Song","14HP0v2hyHQU9eglkL7AGd"
"94","101 Strings Orchestra","Secret Love","2t1H8BIed1XuXujUc8JWVc"
"95","101 Strings Orchestra","Solamente Una Vez","3yTyL3oytdfW5vWfa2JsV6"
"96","101 Strings Orchestra","The Way You Look Tonight","1y7m8k6aZBPkvj5MaUW23q"
"97","101 Strings Orchestra","Theme From How The West Was Won","2xTZK7EXnWMWK88ikO79Zp"
"98","108","Forever Is Destroyed","108"
"99","108","Reduced","6rDZt3h9zQV2qR1U4m7j1Z"
"100","108","Relentless Masters","0aH5y2HIi26gnTLMiIbUGu"
"101","10cc","4% of Something","2caupJDZ2PscOVOftFsvR3"
"102","10cc","Flying Junk","3rRcKKfaaPruErqMyBeChy"
"103","10cc","I Don't Like Cricket - I Love It (Dreadlock Holiday) (Live Version)","0UoHcljfQxt61p77GDqFYv"
"104","10cc","Lazy Ways","1dbvYK3hUrXYlFCJhDKn8q"
"105","10cc","Lifeline","5eJzqFB3Cp4AjBhwHvmd2A"
"106","10cc","People In Love","5OesuURQhsAqUzjegDkSQP"
"107","10cc","Something Special","72oSEQREtut3RXuhRaRg8L"
"108","10cc","The Wall Street Shuffle","3HyZGwZAq9oQJQBzSyjs7Q"
"109","10cc","Tokyo","1HMi618RBSHzn4DmCS6Q3h"
"110","10cc","Une Nuit A Paris (Part 1) / The Same Night In Paris (Part 2) / Later The Same Night In Paris (Part 3)","0U8SDgf7UiNG68oa7CkSrc"
"111","112","All My Love","5N4n1GLnROLDpI2gOS695D"
"112","112","Everyday","63UKf6fdTDm9PfHL5d9fIi"
"113","112","Intro","5zs3omxCtxQulnYDO4zgbB"
"114","112","Knock U Down","5j5JDTt9ObaaZIE2QA16hM"
"115","112 / Spragga Benz / Lady Saw / Buccaneer / Damian ""Jr. Gong"" Marley","Na Na Na Na","68PYu8lLxy6hRN7zOArc8F"
"116","113","Avec le punch","4dmqjT4WNapxlgDMc3PrBp"
"117","113","Trop Puissant","1E99Xq81wKp1XDbkUn05su"
"118","12 Stones","Fade Away","49At2oj6NDnrSjJbDcw5g2"
"119","12 Stones","Games You Play","2KYxPVcqRdGaGjNVhDf1IA"
"120","12 Stones","Lie To Me","1fbLPjsAXq7gZPtOK9QCZU"
"121","12 Stones","Lie To Me (Acoustic)","4FvAYmTLr741HStMTasDGD"
"122","12 Stones","Lifeless","5T33q7EcHllaVZ4q9PnlVj"
"123","12 Stones","Soulfire","0NrrIhGFq5kxOpmAgsKdPT"
"124","12 Stones","Stay","11rcUMxlFdlObZ2UMu0EFE"
