"","X1","artist","song","spotify_uri","Album","Release"
"1",1,"-123 minut","A Simple Man","5GIWeGdWOfDfEOll1O4t4S","Mom","2005"
"2",2,"-123 minut","Call My Name","6Vxt15mm2ExoEf09ZZwUmW","Vsechno nejlepsi","2006"
"3",3,"-123min.","Amy","3cNXzb7zzSXgnITm1v5ch1","XL Live","2004"
"4",4,"-123min.","C'mon Back","2edqWrDzz2IuIw4kfTJcLG","Shooba Dooba","2002"
"5",5,"-123min.","Hey_ Son","4wUC0oyeVAXsDruFZIkDg3","XL Live","2004"
"6",6,"-123min.","No More Day","6YGL7im3IvaBDoOgZof2AQ","Shooba Dooba","2002"
"7",7,"-123min.","Runnin' On","3yPU6XFjqjyoZEjh0y7EtT","try","2002"
"8",8,"-123min.","Sadorealism","59X2Cj2NLjZ1u48otfawO1","try","2002"
"9",9,"-123min.","Sea Or Sure","0BZTKt9FC2zDCosN4nOb1v","Dream","2010"
"10",10,"-123min.","September","0lBJ0ryjyQviwoXePyILR3","Shooba Dooba","2002"
"11",11,"-123min.","So Tre Ma Po","2BMELcIqSGZEIkCxLJGzmL","XL Live","2004"
"12",12,":Blacks On :Blondes","49 Segundos","3oPHqhTvNRFkDt4rFyBwOE","Travel Without Leaving The Bed","2009"
"13",13,":Blacks On :Blondes","Secret Society","2aFzYIbgCT34H970tPDteX","Travel Without Leaving The Bed","2009"
"14",14,"? & The Mysterians","96 Tears","4PEeZ2U4UfP2Jo8EtIOjus","96 Tears","1966"
"15",15,"? & The Mysterians","Can't Get Enough Of You_ Baby","1C5TdPivZzdI5bWzRy5hNk","The Best Of ? & The Mysterians 1966-1967","2005"
"16",16,"? & The Mysterians","Don't Tease Me","2OFLNihLjoH4pubiYMf4xu","96 Tears","1966"
"17",17,"? & The Mysterians","Hangin' On A String","6Jy2m5WDbKgrn9t4VASJGI","The Best Of ? & The Mysterians 1966-1967","2005"
"18",18,"? & The Mysterians","Set Aside","0QAuufqhtDEGZH3LCI0zly","96 Tears","1966"
"19",19,"? & The Mysterians","Ten O'clock","40NHppXZVM0eYvsVseywWl","96 Tears","1966"
"20",20,"...And You Will Know Us By The Trail Of Dead","And You Will Know Them...","4MjozIk7BllM2C5bU98dCP","Madonna","2013"
"21",21,"...And You Will Know Us By The Trail Of Dead","Baudelaire","4SRk9ehxeCp0uPDaMrwVqK","Source Tags & Codes","2002"
"22",22,"...And You Will Know Us By The Trail Of Dead","Blight Takes All","1NhGoltvdi4zn6JaTOj64F","Madonna","2013"
"23",23,"...And You Will Know Us By The Trail Of Dead","The Best","62RXWSdL4KantPhRasiStW","Worlds Apart","2005"
"24",24,"...And You Will Know Us By The Trail Of Dead","The Lost City Of Refuge","1eTd4rqNUbAa3M7DcZ55OP","Worlds Apart","2005"
"25",25,"...And You Will Know Us By The Trail Of Dead","Wasted State Of Mind","16XbElFPv3A7TrzRJntVYd","So Divided","2006"
"26",26,"...arrived at ten","380 ms","1nrPRfOalVRYgK4CJVFsvS","Beyond","2009"
"27",27,"...arrived at ten","Coda","2R1l3qRNfyrjg3IsXYpieJ","Beyond","2009"
"28",28,"...arrived at ten","Interlude '77","15nmQDTYLrHlIBSCFedBoJ","Beyond","2009"
"29",29,"...arrived at ten","Red Light","694q11icXEElhUYKH1F4qT","Side Seeing","2008"
"30",30,"(Hed) Planet Earth","33","4Q3O9tYle7QM41vyduBtZd","(Hed)Pe","1997"
"31",31,"(Hed) Planet Earth","Bitches","4bSdbeW0cO5aPjArcmVbKS","(Hed)Pe","1997"
"32",32,"(Hed) Planet Earth","Blackout","6yTnvHRhUuuaoxy4dHzLGo","Blackout","2003"
"33",33,"(Hed) Planet Earth","Flesh and Bone","0CS0U3x0Xjz5ZWvzY9glY3","Blackout","2003"
"34",34,"(Hed) Planet Earth","Other Side","3sypeUvcKcO4ULqFo1lvii","The Best Of (Hed) Planet Earth","1997"
"35",35,"(Hed) Planet Earth","Serpent Boy","7J6GvzDvpdML0bKOXtSx79","(Hed)Pe","1997"
"36",36,"(Hed) Planet Earth","Suck It Up","2ojddPZAy0NMCDBDptqM61","The Best Of (Hed) Planet Earth","1997"
"37",37,"(Native Passions)","Cry Of Shadows","5kCgtkHs8gIyvxSJOZsXV8","Tribal Ceremony","2000"
"38",38,"(We Are) Performance","Live a Little","4hHotlM8Cowl98BoYrUM3C","(We Are) Performance","2007"
"39",39,"(We Are) Performance","Lost Youth","2ySeu91UWZHPfFgy295o11","(We Are) Performance","2007"
"40",40,"(We Are) Performance","Sex Etc.","0VZ9KcvTl17NFf9d5l5AiW","(We Are) Performance","2007"
"41",41,"[ingenting]","21218","4WburZhKAydVR9EcFeUlv2","Ingenting Duger","2004"
"42",42,"[ingenting]","De Sv̴raste Orden (Mr Suitcases Midnattsmix)","1cVhApgbY94OCXliHigPAl","Sommardagboken","2006"
